מזהה כונן,קטגוריה,final score,זמינות,מיקום כונן
0001 שלמה ,אחר,10.18256471757195,זמין,"33.25899538590347,34.24205579833975"
0003 שלומי ,אחר,14.574226104236793,לא זמין,
0004 אליהו ,אחר,14.574226104236793,לא זמין,
0009 דדי ,אחר,9.384080829087427,לא זמין,
0009 יוסי ,אחר,45.924147452790656,לא זמין,
0009 יוסף ,אחר,13.693493392487794,לא זמין,
0012 שלום ,אחר,12.17877443878324,זמין,"32.3982911419995,35.86534530680081"
0018 חגי ,אחר,10.18256471757195,זמין,"32.48115977954633,35.75464348138426"
0020 נועם ,אחר,35.84091625435233,לא זמין,
0020 שמשון ,אחר,8.585596940602912,זמין,"30.29304414953436,34.220284349630646"
0021 	דן		 ,אחר,25.083596578589543,זמין,"31.798080087083825,35.19511827677724"
0022 שחר ,אחר,53.55885454384396,זמין,"33.153588003868435,35.201378474930934"
0024 אליהו ,אחר,10.18256471757195,לא זמין,
0026 גל ,אחר,12.17877443878324,לא זמין,
0030 אשר ,אחר,18.1229779648607,זמין,"30.402156031617537,34.25713935625807"
0030 יצחק ,אחר,21.637637962161115,זמין,"29.537809200965995,35.88040515347997"
0030 מירי ,אחר,14.973468048479049,זמין,"32.45422483460848,35.37181151682111"
0038 יוסף ,אחר,81.05590974722342,זמין,"31.84488007928126,34.879259487137965"
0040 אברהם ,אחר,38.32383752804509,זמין,"31.95963341085165,35.51136065605479"
0051 ירון ,אחר,21.286895516555628,זמין,"29.554091898285968,34.82823252623061"
0059 פיני ,אחר,1.3992419442422592,לא זמין,
0069 יובל ,אחר,10.18256471757195,לא זמין,
0071 אביעד ,אחר,14.574226104236793,לא זמין,
0072 עומר ,אחר,46.70269757215778,זמין,"31.879447671700152,35.65712574461321"
0073 מימון ,אחר,14.574226104236793,לא זמין,
0077 רועי ,אחר,8.186354996360656,זמין,"32.15592633993086,34.97468745409867"
0084 איציק ,אחר,53.55885454384396,לא זמין,
0084 טמיר ,אחר,8.186354996360656,זמין,"30.858180217401728,35.422028979772456"
0084 שמואל ,אחר,14.174984159994532,לא זמין,
0088 שי ,אחר,3.3954516654535527,לא זמין,
0096 רונית ,אחר,14.174984159994532,זמין,"30.784535294816596,35.074268676419806"
0102 אביאל ,אחר,14.574226104236793,לא זמין,
0103 ישראל ,אחר,5.790903330907102,לא זמין,
0104 שימי ,אחר,32.76177100608376,זמין,"32.31596471932129,34.429920257315025"
0107 קובי ,אחר,24.555274710293254,לא זמין,
0108 ירמי ,אחר,20.56285526787067,לא זמין,
0109 אפרים ,אחר,25.083596578589543,לא זמין,
0111 יניב ,אחר,50.50600108604007,לא זמין,
0111 שירה ,אחר,10.18256471757195,לא זמין,
0123 אליהו ,אחר,24.450813068250564,זמין,"30.51642016315402,35.041237703910376"
0123 דוד ,אחר,57.37894765084269,זמין,"31.483308774531913,35.428349079077535"
0125 אייל ,אחר,21.286895516555628,לא זמין,
0140 עדיאל ,אחר,33.688782093077315,זמין,"29.725683296910496,35.29594564430202"
0142 מולוקן ,אחר,23.756790821808742,לא זמין,
0143 נתי ,אחר,10.18256471757195,לא זמין,
0144 אלעזר ,אחר,14.574226104236793,זמין,"33.10838373564487,34.807982437521915"
0146 רחל ,אחר,5.790903330907102,זמין,"32.90321280671774,34.54576530448201"
0148 נתן ,אחר,20.02132849587765,זמין,"31.20312724089093,34.682354587879615"
0151 	אליהו		 ,אחר,10.581806661814204,לא זמין,
0152 שמואל ,אחר,32.76177100608376,לא זמין,
0153 יאיר ,אחר,14.574226104236793,זמין,"30.134058122215542,35.71123161282003"
0154 ירוחם ,אחר,13.693493392487794,זמין,"30.287817822828337,34.38935485004942"
0160 רון ,אחר,12.5780163830255,זמין,"29.888566958309575,35.35118783874142"
0164 שמוליק ,אחר,36.85733134200371,לא זמין,
0166 דן ,אחר,24.450813068250564,לא זמין,
0170 מאיר ,אחר,5.790903330907102,זמין,"32.38406935490036,34.430208337021696"
0171 נעמי ,אחר,10.581806661814204,זמין,"29.788158193175427,34.717317585703285"
0174 	מתן		 ,אחר,24.450813068250564,לא זמין,
0179 יהודה ,אחר,25.34568231013533,זמין,"32.474105898529956,35.77198025653645"
0181 אופיר ,אחר,14.574226104236793,זמין,"31.991853443819988,35.02186351355915"
0184 יצחק ,אחר,12.17877443878324,זמין,"32.66138987417602,34.54055291269571"
0189 נטלי ,אחר,14.174984159994532,לא זמין,
0194 יהודה ,אחר,10.18256471757195,לא זמין,
0198 חיים ,אחר,43.5674455968637,לא זמין,
0199 חיים ,אחר,10.581806661814204,לא זמין,
0200 רויטל ,אחר,10.18256471757195,לא זמין,
0202 דניאל ,אחר,13.060709882148808,לא זמין,
0202 לייזי ,אחר,32.72922952367874,לא זמין,
0213 שחר ,אחר,10.581806661814204,זמין,"31.04540198412976,35.181841532448416"
0217 רואי ,אחר,8.186354996360656,לא זמין,
0220 מושיק ,אחר,18.1229779648607,זמין,"32.62153924713026,34.328415555125495"
0221 איתן ,אחר,18.1229779648607,זמין,"29.903042499384686,35.69559625796976"
0224 אריאלי ,אחר,8.186354996360656,זמין,"32.68436497472751,35.64220028109777"
0227 ניסים ,אחר,14.574226104236793,לא זמין,
0228 אלעד ,אחר,14.174984159994532,לא זמין,
0231 יוסף ,אחר,81.05743854610942,לא זמין,
0232 נבו ,אחר,14.174984159994532,זמין,"30.06419533139375,35.7334288316392"
0233 יצחק ,אחר,14.174984159994532,לא זמין,
0234 רונן ,אחר,28.54769415271584,זמין,"32.39915599559312,34.73652037919438"
0235 מנהל ,אחר,20.56285526787067,לא זמין,
0235 ס.מנהל ,אחר,23.756790821808742,זמין,"30.778069512230726,35.24299934362537"
0237 אביעד ,אחר,6.589387219391621,לא זמין,
0240 לוי ,אחר,14.174984159994532,לא זמין,
0240 עזרי ,אחר,43.0271947065886,לא זמין,
0256 עוז ,אחר,60.559917103969326,לא זמין,
0257 ישי ,אחר,14.574226104236793,לא זמין,
0262 אשר ,אחר,34.716009080187135,זמין,"33.10576376144322,35.26502287134323"
0264 יהונתן ,אחר,10.18256471757195,לא זמין,
0272 שרון ,אחר,10.52957584079286,לא זמין,
0276 ארי ,אחר,10.581806661814204,לא זמין,
0276 דניאל ,אחר,10.581806661814204,לא זמין,
0277 נהוראי ,אחר,8.186354996360656,זמין,"31.37273757208642,34.805768705306804"
0278 שקד ,אחר,10.18256471757195,לא זמין,
0284 שמואל ,אחר,5.391661386664844,לא זמין,
0289 קובי ,אחר,28.54769415271584,לא זמין,
0293 חגי ,אחר,40.32007826648889,לא זמין,
0295 ניצן ,אחר,11.779532494540982,זמין,"29.786587515347417,34.95876646343072"
